category_id,category_name,category_description
1,Electronics,Electronic devices and accessories
2,Home & Garden,Home and garden products
3,Clothing,Fashion and apparel
4,Toys,Toys and games
5,Books,Books and literature
6,Health & Beauty,Health and beauty products
7,Sports & Outdoors,Sporting goods and outdoor equipment
8,Food & Beverages,Food and beverages
9,Office Supplies,Office supplies and stationery
10,Furniture,Furniture and home decor
11,Jewelry & Watches,Jewelry and watches
12,Music & Instruments,Music and musical instruments
13,Art & Collectibles,Art and collectible items
14,Automotive,Automotive products and accessories
15,Pets,Pet supplies and accessories
16,Shoes,Footwear and shoes
17,Tools & Hardware,Tools and hardware
18,Travel & Luggage,Travel and luggage items
19,Baby & Kids,Baby and kids' products
20,Electronics,Electronic devices and accessories
21,Home & Garden,Home and garden products
22,Clothing,Fashion and apparel
23,Toys,Toys and games
24,Books,Books and literature
25,Health & Beauty,Health and beauty products
26,Sports & Outdoors,Sporting goods and outdoor equipment
27,Food & Beverages,Food and beverages
28,Office Supplies,Office supplies and stationery
29,Furniture,Furniture and home decor
30,Jewelry & Watches,Jewelry and watches
31,Music & Instruments,Music and musical instruments
32,Art & Collectibles,Art and collectible items
33,Automotive,Automotive products and accessories
34,Pets,Pet supplies and accessories
35,Shoes,Footwear and shoes
36,Tools & Hardware,Tools and hardware
37,Travel & Luggage,Travel and luggage items
38,Baby & Kids,Baby and kids' products
39,Electronics,Electronic devices and accessories
40,Home & Garden,Home and garden products
41,Clothing,Fashion and apparel
42,Toys,Toys and games
43,Books,Books and literature
44,Health & Beauty,Health and beauty products
45,Sports & Outdoors,Sporting goods and outdoor equipment
46,Food & Beverages,Food and beverages
47,Office Supplies,Office supplies and stationery
48,Furniture,Furniture and home decor
49,Jewelry & Watches,Jewelry and watches
50,Music & Instruments,Music and musical instruments
51,Art & Collectibles,Art and collectible items
52,Automotive,Automotive products and accessories
53,Pets,Pet supplies and accessories
54,Shoes,Footwear and shoes
55,Tools & Hardware,Tools and hardware
56,Travel & Luggage,Travel and luggage items
57,Baby & Kids,Baby and kids' products
58,Electronics,Electronic devices and accessories
59,Home & Garden,Home and garden products
60,Clothing,Fashion and apparel
61,Toys,Toys and games
62,Books,Books and literature
63,Health & Beauty,Health and beauty products
64,Sports & Outdoors,Sporting goods and outdoor equipment
65,Food & Beverages,Food and beverages
66,Office Supplies,Office supplies and stationery
67,Furniture,Furniture and home decor
68,Jewelry & Watches,Jewelry and watches
69,Music & Instruments,Music and musical instruments
70,Art & Collectibles,Art and collectible items
71,Automotive,Automotive products and accessories
72,Pets,Pet supplies and accessories
73,Shoes,Footwear and shoes
74,Tools & Hardware,Tools and hardware
75,Travel & Luggage,Travel and luggage items
76,Baby & Kids,Baby and kids' products
77,Electronics,Electronic devices and accessories
78,Home & Garden,Home and garden products
79,Clothing,Fashion and apparel
80,Toys,Toys and games
81,Books,Books and literature
82,Health & Beauty,Health and beauty products
83,Sports & Outdoors,Sporting goods and outdoor equipment
84,Food & Beverages,Food and beverages
85,Office Supplies,Office supplies and stationery
86,Furniture,Furniture and home decor
87,Jewelry & Watches,Jewelry and watches
88,Music & Instruments,Music and musical instruments
89,Art & Collectibles,Art and collectible items
90,Automotive,Automotive products and accessories
91,Pets,Pet supplies and accessories
92,Shoes,Footwear and shoes
93,Tools & Hardware,Tools and hardware
94,Travel & Luggage,Travel and luggage items
95,Baby & Kids,Baby and kids' products
96,Electronics,Electronic devices and accessories
97,Home & Garden,Home and garden products
98,Clothing,Fashion and apparel
99,Toys,Toys and games
100,Books,Books and literature
